,Predicted Vaues,,,,Actual Values,,,
Date,Open,High,Low,Close,Open,High,Low,Close
07/08/19,639.1356,646.0486,629.8127,637.3038,671.799988,678.5,670.299988,674.450012
08/08/19,658.65717,665.6476,649.0024,656.6879,674,683.900024,665,680.200012
09/08/19,665.1907,672.2753,655.4955,663.2849,679,680.75,659.75,663.349976
13/08/19,668.0104,675.1763,658.3326,666.1821,661.099976,662.5,636,639.150024
14/08/19,664.24915,671.457,654.6835,662.52045,639.049988,662.5,638.900024,659.099976
16/08/19,648.7012,655.89996,639.4428,647.1462,656.900024,661,646.150024,659
19/08/19,651.8489,659.0184,642.4828,650.1878,662,674.400024,661.5,670.349976
20/08/19,657.35364,664.51373,647.8595,655.6017,674,680,664.650024,668.900024
21/08/19,665.9627,673.1477,656.3122,664.13416,670,675,669.299988,672.799988
22/08/19,668.7025,675.9195,659.026,666.88916,672.650024,684,668.099976,682.75
23/08/19,668.301,675.5413,658.65424,666.52637,684.25,694.400024,679.400024,683.849976
26/08/19,674.16315,681.42145,664.40656,672.334,689.799988,693,670.200012,691.150024
27/08/19,681.7448,689.0159,671.83124,679.8398,689.849976,689.849976,673.200012,676.349976
28/08/19,680.52185,687.8029,670.63605,678.6496,676,693.450012,676,690.200012
29/08/19,677.93506,685.2149,668.0938,676.0873,684.150024,694,681,691.150024
30/08/19,681.6572,688.9347,671.7284,679.7469,693,700.700012,675.849976,693.650024
03/09/19,685.00604,692.28845,675.0088,683.053,698,716.900024,698,704.5
04/09/19,686.93066,694.2225,676.9001,684.9612,705,709.75,692.200012,703.25
05/09/19,698.7169,706.03076,688.453,696.622,710,710,691.049988,695.450012
06/09/19,696.4098,703.7383,686.20557,694.36835,716.349976,734.450012,716.349976,721.75
09/09/19,694.5279,701.8644,684.3654,692.511,723,723,710,712.900024
11/09/19,715.5971,722.9486,704.98615,713.32544,718,723.25,701.25,703.700012
12/09/19,707.9111,715.2592,697.4488,705.7473,701.099976,709.200012,694,705.549988
13/09/19,704.1451,711.49286,693.7464,702.0131,705.25,711.299988,701,709.5
16/09/19,700.1853,707.514,689.8407,698.0609,710.099976,723.25,710.099976,719.450012
17/09/19,703.1138,710.43756,692.70044,700.9275,719.900024,719.900024,699.150024,705.950012
18/09/19,712.10675,719.45087,701.5277,709.8238,710,718.099976,701.900024,716.75
19/09/19,706.0989,713.4527,695.6607,703.90735,715.700012,715.700012,700,703.349976
20/09/19,706.95264,714.316,696.5072,704.75287,701.299988,716.200012,696.049988,700.849976
23/09/19,704.67584,712.036,694.2797,702.49554,703,704.950012,675.099976,682.799988
24/09/19,702.27655,709.62384,691.9202,700.1062,686.049988,705.900024,683.700012,703.849976
25/09/19,690.0429,697.352,679.90845,687.97797,704.049988,709.950012,698,705.900024
26/09/19,695.31287,702.5944,685.0423,693.1365,705.450012,716,701.799988,713.700012
27/09/19,701.9865,709.2622,691.575,699.7241,710,718.650024,702.049988,704.299988
30/09/19,704.8546,712.14246,694.3986,702.58325,704.5,716.599976,696.200012,714.5
01/10/19,702.2355,709.5311,691.8448,700.0153,715,715,700,704.950012
03/10/19,703.105,710.40656,692.70337,700.88007,705.25,717.75,692.549988,702.5
04/10/19,702.6542,709.9586,692.26886,700.4367,705,713.799988,702.549988,708.150024
07/10/19,700.65826,707.96124,690.3171,698.46106,708.150024,716.799988,700.700012,704.799988
09/10/19,703.2367,710.54175,692.8464,701.0048,702.8,713.9,701.85,711.05