Name,Cluster,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88
Hindalco Inds,0,0.182261509,0.084634444,0.108286545,0.087007275,0.053572691,0.022286526,-0.006174613,0.041249358,0.11090539,0.09558046,0.10928288,0.093283357,0.072967006,0.05433633,0.042598416,0.045876613,0.083082373,0.111329208,0.1094026,0.064854494,0.034020676,0.042030344,0.037745159,0.024801846,0.008191417,-0.00253891,0.018962551,0.05281101,0.042098784,6.597804626,3.089422894,3.471552577,2.880035207,1.982058714,1.081425515,0.960444505,1.577261582,3.085810066,3.139495611,2.838521338,2.880485087,3.143147699,3.267313859,3.578161653,3.724825002,3.436497809,3.049975694,2.748048234,2.331807627,1.996937976,2.314428653,2.540160333,2.478099461,2.835595877,2.666967837,2.341125897,1.814435138,1.785502029,0.699862624,0.666326094,0.698288874,0.717526918,0.712486658,0.739284317,0.727295127,0.700699695,0.644688916,0.640998287,2.087112231,2.228099275,2.289539712,2.114303387,1.433788431,1.449178668,1.153077248,1.182991682,1.353683456,1.520422035,-118.5439198,12.13799729,21.62681926,10.87153625,10.73229203,12.44446115,16.92360986,12.19622051,12.81350781,11.92764683
JK Tyre & Indust,0,0.263318274,0.076787753,-0.04235291,0.224281538,0.242470615,0.235301675,0.266816259,0.191064648,0.033674978,0.077193136,0.102051162,0.061324307,0.152803034,0.175866711,0.181981402,0.20204652,0.159013322,0.074365523,0.100104399,0.050515971,0.011328265,-0.004742569,0.029362616,0.03468484,0.045068643,0.067743465,0.048820645,0.007983462,0.01700492,3.622214776,1.960782631,0.877333333,2.135510204,2.355684287,2.886290354,3.61264509,2.215460078,1.229452202,1.519037384,4.171913598,5.343492433,6.238083489,5.63366814,4.897455909,4.400686452,3.841397553,5.522140259,5.238012013,3.192479646,4.022823124,5.862164381,5.187743395,4.611385112,3.951035325,3.075366986,4.516968821,4.669772067,4.217146734,0.761477673,0.800908777,0.854273383,0.838390196,0.82179088,0.798022043,0.754623325,0.818741046,0.823626067,0.808324348,2.51168117,3.135679177,3.607955883,2.55072704,2.818665368,2.707814756,1.841094157,1.327025562,1.346714574,1.665155654,-186.7037505,17.8220609,42.04506638,9.679533063,9.401713428,10.39141368,10.80549812,5.391055303,6.932585776,7.337031351
Coal India,1,0.373032435,0.326207743,0.365564796,0.358069887,0.356369825,0.340164949,0.40957467,0.378496857,0.348810679,0.660085537,0.528181532,0.555089601,0.54546905,0.496718218,0.518165737,0.568472735,0.467454559,0.454848036,1.087746168,0.195763989,0.186830643,0.204189022,0.254109279,0.21402352,0.185195454,0.135766142,0.118725596,0.082569333,0.175413315,152.0048659,218.3363696,379.7865028,538.645932,389.5129903,2375.467547,56.30422782,36.19715427,26.04140897,99.6236911,2.41627619,2.32798796,2.406213055,2.442503201,2.536045723,2.959762446,3.848474969,5.339188931,5.420492419,1.768433752,1.577417438,1.644703906,1.289631806,1.474702897,1.757328996,2.278654592,3.86670903,5.263324172,4.057951714,0.638784927,0.61201473,0.621885838,0.563248555,0.595911088,0.637330184,0.694996843,0.794522337,0.840340373,0.802291509,4.043800076,4.528960992,5.388579413,5.072327147,4.775815573,4.599434441,4.758679388,3.282616666,3.091461586,3.05256026,4.019044816,3.077023383,3.06163854,2.24527771,3.582774071,4.445370929,16.19117681,-12.31525991,-4.779882875,-5.932578652
Lupin,1,0.265449816,0.262886001,0.216215745,0.25252009,0.264928436,0.270816289,0.202514115,0.189475587,0.018506216,0.044137669,0.252442907,0.243978977,0.327028632,0.409675232,0.402982027,0.244184308,0.185690832,0.035613908,0.084966237,0.142790706,0.148230701,0.122499086,0.136314884,0.162714517,0.188194058,0.158586767,0.147256523,0.015906005,0.036280863,22.71187321,29.83903712,34.72060897,47.998779,107.2532833,349.09684,56.9751135,24.22913525,3.675850257,5.928596953,1.738942812,1.686258649,1.732051509,1.477934203,1.300213911,1.320247157,1.849013055,1.965476906,1.925773327,0.980450419,0.874309679,0.98914498,0.7232148,0.482398649,0.490544351,1.042322345,0.971264457,0.937487203,1.033830754,0.49506436,0.466470236,0.497271436,0.419689293,0.325417626,0.329104163,0.510361328,0.492711393,0.483867559,0.508317003,2.504304443,2.829096231,2.575922114,3.21335791,3.363285254,2.923409925,1.635379765,1.574140324,1.524470686,1.507947804,3.368329323,3.073810932,2.884144132,3.154921557,3.01187045,4.546720453,2.064470441,2.818675201,2.106740374,2.316670062
NMDC,1,0.401450281,0.391529141,0.376024706,0.230162229,0.212743052,0.19669665,0.0872547,0.112648851,0.155973136,0.177347566,0.702622905,0.6671112,0.484020588,0.339496344,0.313358827,0.131843261,0.161769082,0.261611281,0.28188323,0.554299734,0.56921792,0.578039749,0.59170219,0.52835249,0.513639479,0.394389541,0.288153563,0.327894343,0.380067919,0,0,0,717.7128788,5272.783784,69625.5,63.20411272,207.3075072,167.4725067,179.4126984,0.887241654,0.910322156,0.656407718,1.072111541,1.011164624,1.122073705,1.270609691,1.10288764,1.146261272,0.080954119,0.092557288,0.104943187,0.119413095,0.0503292,0.068406255,0.126961569,0.147702107,0.184440938,0.157354093,0.074891356,0.084716187,0.094976093,0.106674735,0.047917548,0.064026446,0.112658295,0.128693767,0.155719827,0.135960199,8.290433749,10.05406119,10.13062345,8.450183541,8.828348647,8.416198397,3.136228054,4.21364784,3.359616569,3.459923528,0.822798644,0.757456115,0.716155762,0.47064066,0.522808656,0.544844564,0.35316463,1.100857553,1.40914771,1.478792208
Axis Bank,2,0.154990984,0.176765226,0.186043292,0.157871451,0.16434299,0.165694504,0.155897373,0.070113612,0.007099181,0.074312615,0.066961577,0.079203126,0.0829426,0.080396022,0.079256536,0.0757891,0.059021864,0.044733128,0.056994155,0.212916003,0.220385408,0.191852657,0.192440403,0.205300892,0.208464302,0.201637798,0.08750464,0.009778595,0.089904744,1.575797233,1.593483695,1.448844528,1.435357746,1.506839823,1.528705896,1.521271776,1.222245407,1.020500158,1.224063533,10.35555967,11.67007133,10.22346601,9.519578737,9.272079172,9.487295036,9.942993899,10.14290555,10.66347216,10.29652141,11.83960399,11.58457056,9.271431316,9.06337216,9.39584321,9.204902989,9.846955189,9.962015755,11.00744042,0.911477174,0.922115978,0.920537614,0.902642585,0.900629731,0.903807707,0.902007888,0.90780823,0.908775902,0.916718304,9.875234386,6.676267423,9.978088481,12.11718064,13.10344298,14.60218578,12.33199915,12.84061749,12.60851548,14.58664748,0.099203824,0.094571024,0.121160337,0.127321959,0.119998459,0.108098385,0.105977489,0.100168895,0.089893653,0.093155703
Bajaj Fin,2,0.077576483,0.181840941,0.201982855,0.176406184,0.180164175,0.187067942,0.174551273,0.191301114,0.157076374,0.198855734,0.121023153,0.134141932,0.145685699,0.133388986,0.131558651,0.129897336,0.129267387,0.122637955,0.130259785,0.101575725,0.177320802,0.187863997,0.191210234,0.177902316,0.166511505,0.175175721,0.184275086,0.196571155,0.223788927,1.665790648,1.965869327,1.793093912,1.713999001,1.685544114,1.596787671,1.663979748,1.731323797,1.82409905,1.999668726,3.658845319,5.057572485,4.821843955,4.852416776,5.603754482,5.409383297,5.552559185,5.016210866,4.614383378,2.985145852,5.275574143,5.427004597,4.314846747,5.171619651,5.832202013,5.415127904,5.640391821,4.160858331,4.546760494,0.749068155,0.84065203,0.844406522,0.81184782,0.83796798,0.853634304,0.844118463,0.849406477,0.806233782,0.819714588,17.44757185,13.57436647,15.58815477,17.54985529,18.38177105,21.639939,25.43031359,27.59767951,27.20105023,26.56758822,0.218580985,0.175114576,0.178882641,0.189677951,0.172038836,0.174659159,0.16962116,0.183157389,0.167788465,0.183200108
Hind.Oil Explor,2,0.039741854,0.068994695,0.02840554,-0.833796059,-0.230865395,-4.344387846,0.016441766,0.105639373,0.097909762,0.290130312,0.07535897,0.032180708,-0.348379674,-0.080797284,-1.365757674,0.035355345,0.123772558,0.106610749,0.340037188,0.285039166,0.236567251,0.205485157,-4.328607238,-1.582832289,-20.7168337,0.104474506,1.414117647,0.770273045,0.591159387,9.513011152,10.67121091,5.219401632,-55.13584906,-8.938686131,-81.8660775,2.199575372,0,34.5,71.34529148,1.78345045,1.768403405,2.354276894,3.129442387,4.070162979,1.483900691,1.519971547,1.448465275,1.177172559,0.84295514,0.793938214,0.818719366,1.830069107,2.101074747,0.548890393,0.609655443,0.537278453,0.41836069,0.358914556,0.457393195,0.442567201,0.45016256,0.646651738,0.677531152,0.354376524,0.378749033,0.349499762,0.29496072,0.26411856,14.79597701,34.5025025,16.91046278,13.48046463,8.656699889,6.925882353,5.895705521,2.591463415,2.759773371,9.415482955,0.092077969,0.223092407,0.10534133,0.109135363,0.070673007,0.46350681,0.518898488,0.15438639,0.15732696,0.734581925
ICICI Bank,2,0.091045003,0.110181331,0.124733431,0.139672762,0.144476545,0.144596096,0.108177738,0.097379287,0.06971526,0.03723665,0.065336444,0.075560836,0.078977385,0.078224895,0.077843486,0.066738626,0.061926618,0.052261248,0.048232659,0.154882766,0.202559389,0.201156946,0.213962298,0.223151523,0.222816207,0.171687014,0.167187124,0.12406529,0.059101729,1.317214035,1.433586643,1.426993294,1.481154065,1.548003222,1.567294848,1.420761038,1.396412257,1.320426536,1.189094568,9.190115827,9.165221304,9.531879374,9.302829567,9.309981724,9.271049197,9.279335013,9.191784878,10.03143741,8.548939986,8.660082962,9.113975707,8.821383221,8.813946066,8.785895739,8.798093748,8.455276015,9.195777449,9.877631813,0.895276334,0.89648122,0.901126913,0.898181348,0.898104188,0.897812114,0.897939331,0.894238941,0.901920182,0.908068225,7.80721023,5.479756993,6.994661247,8.200405228,8.98506945,9.361613705,6.804841016,6.526048516,6.567594752,7.451192598,0.138075889,0.133632909,0.146570898,0.152008651,0.142854256,0.136820873,0.125942053,0.123915014,0.114237657,0.120364894
JSW Steel,2,0.177938143,0.111569806,0.032644953,0.05643873,0.021344674,0.080601122,-0.017686372,0.155561443,0.221944425,0.219543038,0.121997118,0.099761246,0.106077885,0.092338384,0.103809596,0.01866661,0.139928689,0.170496531,0.202001942,0.084271545,0.07276147,0.015644763,0.025205936,0.008823767,0.033915779,-0.008073668,0.063358751,0.086385942,0.090128249,2.97280498,3.299341671,2.396587963,2.016203633,1.429169975,1.726907585,0.314763494,2.360934183,3.067279114,3.851161603,2.897960407,2.871265857,3.238826381,3.019356357,3.708874611,4.295800106,3.963480641,3.807838878,3.521411622,2.986181962,1.939721085,2.297245263,2.382888653,2.80659255,2.975470667,3.348173653,3.257694176,2.94885349,2.836327058,0.749133379,0.659831674,0.696716525,0.704394645,0.737297862,0.748457457,0.770018385,0.765131088,0.746761939,0.739334008,0.84812039,0.896001169,1.016443541,1.100609791,1.088714988,1.015241217,0.740052106,0.94677337,1.243482921,1.3529947,-3.961625428,-6.615845057,-14.60158812,-9.663689889,-43.68671904,-69.57668059,-12.09319459,36.53350854,37.54331942,14.75317668
Kotak Mah. Bank,2,0.165214248,0.142912264,0.142022659,0.14350755,0.12921937,0.137471494,0.103680565,0.128353395,0.12282539,0.124682653,0.094561,0.103644278,0.102231543,0.097242792,0.099521589,0.095133125,0.082272758,0.079497164,0.079345763,0.284058803,0.262298869,0.216310407,0.201927131,0.205657481,0.228656442,0.169537841,0.221303688,0.246745066,0.240661024,2.073265797,1.842233082,1.584864244,1.521871561,1.58543247,1.653130159,1.451636568,1.639924381,1.734606577,1.696384512,5.840323325,6.175088072,6.561041362,6.75092496,5.929596236,5.35273506,6.702814751,6.208073331,6.23872915,5.96691038,5.72092092,6.158289564,6.597839052,5.407872506,5.706704006,6.218194255,6.175410046,5.689380593,5.839271315,0.856464351,0.851210867,0.860301823,0.868383629,0.843941964,0.850895462,0.861461196,0.860635142,0.850509328,0.853785593,7.495821319,9.94821958,13.76654911,17.48325536,9.481840692,9.616735381,11.5851268,12.69416361,9.882881289,11.09738791,0.19565076,0.177244514,0.183014701,0.182813503,0.18451837,0.167664386,0.144688101,0.128669361,0.121519872,0.123260113
M & M Fin. Serv,2,0.202912931,0.193624311,0.212300566,0.20243037,0.180293556,0.153618208,0.119375831,0.073509804,0.120262689,0.162152521,0.137216587,0.140045476,0.142574053,0.133854757,0.121844685,0.108141239,0.091331515,0.104270308,0.116450808,0.223888955,0.242946098,0.221465077,0.222053487,0.18028981,0.150872519,0.117266114,0.071169249,0.149828136,0.175212339,2.074264121,2.122384341,1.843334386,1.80968999,1.640752139,1.529651911,1.426768003,1.262936378,1.554334888,1.640925212,4.47403537,4.974419214,5.103630054,5.483750538,6.062069592,6.227011985,6.705641883,6.334069772,5.565783612,4.483650403,4.449484868,5.407260778,4.911327532,5.433681546,5.502949828,5.959982379,6.651293936,4.965076646,5.628145127,0.817639724,0.816496417,0.843927064,0.830833261,0.844567998,0.846223633,0.856321475,0.869303152,0.832357561,0.849128228,38.00263032,27.43925866,28.77735961,37.16924858,41.20337796,50.90753828,51.03285548,53.89504461,53.93651984,51.76996773,0.198001879,0.174503798,0.169543694,0.172794147,0.174505465,0.175891964,0.168068687,0.155960228,0.151202593,0.156731221
M & M,2,0.244244359,0.215606067,0.187182445,0.205363539,0.200238471,0.121342199,0.118841641,0.124188443,0.20422437,0.132941638,0.201411014,0.168168534,0.178027506,0.163768673,0.122207116,0.13715781,0.136422014,0.167191015,0.136529346,0.085104279,0.083543522,0.052638313,0.059673777,0.063065829,0.043912636,0.041513331,0.044143552,0.081551394,0.050758456,4.59890056,4.976352571,3.324733131,3.42941663,2.970121161,2.366209542,2.684299455,2.740531622,3.589738381,2.766624513,2.970818106,3.301134928,3.493077638,3.548127974,3.604354392,3.639003817,3.576738706,3.448151875,3.719056627,2.57625886,2.58074455,2.833615804,2.845527461,2.801493208,2.683777853,2.798490525,2.853297691,2.881279471,3.242497076,0.720378183,0.720728473,0.739149656,0.739957649,0.736945472,0.728539548,0.736737529,0.740482029,0.742353003,0.764289761,3.405240955,2.506401683,3.45377413,3.752237627,4.025955663,3.751193118,3.684356981,3.991281628,3.517466265,3.613208413,3.07158647,3.510358113,3.761669299,3.081420459,2.481646277,2.25659801,2.264805921,2.169770808,1.993197361,1.780327206
Manappuram Fin,2,0.249539029,0.43996744,0.496744186,0.184112382,0.090691645,0.103053783,0.128123595,0.22483491,0.177589137,0.203863282,0.25660793,0.27958849,0.20306943,0.251326482,0.119795304,0.126434761,0.174576632,0.134382164,0.151576975,0.199019608,0.246634725,0.266633379,0.179221879,0.107585957,0.136475441,0.149195064,0.221947832,0.19796478,0.224086077,1.867688022,2.854120267,3.266898955,2.182430682,1.334132086,1.4715753,1.578832371,1.997441624,2.006259401,2.081746802,5.410871694,4.376794435,2.885226604,0.499257338,4.231353448,4.310927425,4.196439776,4.223767394,4.084896778,5.791026429,5.018315018,5.84,3.115924913,3.351124114,3.413460954,3.655759162,3.507362127,3.465942348,3.521368504,0.852746855,0.833840536,0.85380117,0.757041243,0.770174333,0.773420449,0.785212258,0.778140746,0.776083092,0.778828025,3.976608187,4.088619403,4.89969419,5.94924406,10.39162915,9.672326554,10.28311553,15.34783001,11.03470968,11.22867509,0.271168417,0.418504726,0.403130032,0.283554946,0.226223223,0.183378131,0.195476776,0.241178695,0.212400832,0.213494877
Muthoot Finance,2,0.389308015,0.370335954,0.304888011,0.268832518,0.182918794,0.13190099,0.144067269,0.181054102,0.22754166,0.201388378,0.188270834,0.208239506,0.172981215,0.148306056,0.129951359,0.146853757,0.163248155,0.169237503,0.162180495,0.211211657,0.213394939,0.196094466,0.186418119,0.15767431,0.155050734,0.166064604,0.205317087,0.28365983,0.286722854,1.721353569,1.731998615,1.561152444,1.535344913,1.453885498,1.487604247,1.582750624,1.835928321,2.470382393,2.371671474,6.716356777,6.44382579,7.017319468,7.353945498,5.476476453,5.002307816,4.457714017,4.287000636,3.501321803,10.02422376,9.286044019,6.988502015,6.874658686,5.002309729,4.265898956,3.813585443,3.713161307,2.945193433,2.890260316,0.909290666,0.902780894,0.874820085,0.873010369,0.833397468,0.810098901,0.792254648,0.787828183,0.746527004,0.742947793,8.674422349,12.6009359,17.31672313,18.61576474,15.82746817,16.80730665,22.31284328,27.59631177,31.25914102,35.71982759,0.188883824,0.17715254,0.207368841,0.196386752,0.211608065,0.178574024,0.204307682,0.212242471,0.220827686,0.194146594
